,name,gender,race,born_locate,born_year,education,working_year,if_ccp,join_year,current_post,next_post,current_post_year,next_post_year
1,陈雍,1,满族,辽宁,1966,2,1991,1,1988,11,12,1996,2011
2,王宁,1,汉族,山西,1960,2,1983,1,1987,11,12,1989,1994
3,崔述强,1,汉族,北京,1963,3,1985,1,1988,5,9,1987,1989
4,崔述强,1,汉族,北京,1963,3,1985,1,1988,9,10,1989,2009
5,崔述强,1,汉族,北京,1963,3,1985,1,1988,10,11,2009,2017
6,隋振江,1,汉族,辽宁,1963,2,1985,1,1984,9,11,1987,2003
7,崔述强,1,汉族,北京,1963,3,1985,1,1988,5,9,1987,1989
8,崔述强,1,汉族,北京,1963,3,1985,1,1988,9,10,1989,2009
9,崔述强,1,汉族,北京,1963,3,1985,1,1988,10,11,2009,2017
10,孙军民,0,汉族,,1970,2,,0,,5,6,1994,1997
11,孙军民,0,汉族,,1970,2,,0,,6,10,1997,2002
12,孙军民,0,汉族,,1970,2,,0,,10,11,2002,2015
13,赵磊,1,汉族,,1972,3,1995,1,1994,9,11,2000,2010
14,魏小东,1,汉族,福建,1961,0,,0,,7,9,1990,2004
15,魏小东,1,汉族,福建,1961,0,,0,,9,11,2004,2017
16,潘临珠,1,汉族,山西,1962,3,1983,1,1983,9,10,1995,1999
17,陈吉宁,1,汉族,吉林,1964,3,,1,1984,10,11,2015,2017
18,武玉嶂,1,汉族,山东,1963,1,1982,1,1985,7,9,1993,2001
19,武玉嶂,1,汉族,山东,1963,1,1982,1,1985,9,10,2001,2002
20,武玉嶂,1,汉族,山东,1963,1,1982,1,1985,10,11,2002,2008
21,王正升,1,汉族,宁夏,1960,0,1981,1,1984,6,7,1986,1987
22,王正升,1,汉族,宁夏,1960,0,1981,1,1984,7,9,1987,2003
23,王正升,1,汉族,宁夏,1960,0,1981,1,1984,9,11,2003,2016
24,王振昌,1,汉族,青海,1964,2,1984,1,1986,7,9,1990,2006
25,鸟成云,1,回族,青海,1963,3,1985,1,1985,7,9,1997,2002
26,鸟成云,1,回族,青海,1963,3,1985,1,1985,9,11,2002,2003
27,鸟成云,1,回族,青海,1963,3,1985,1,1985,11,12,2003,2018
28,李杰翔,1,汉族,内蒙古,1964,2,1985,1,1985,8,9,1986,1994
29,李杰翔,1,汉族,内蒙古,1964,2,1985,1,1985,9,11,1994,2019
30,尼玛卓玛,0,藏族,青海,1962,1,1981,1,1985,8,9,1984,1985
31,尼玛卓玛,0,藏族,青海,1962,1,1981,1,1985,9,11,1985,1993
32,尼玛卓玛,0,藏族,青海,1962,1,1981,1,1985,11,12,1993,2018
33,公保扎西,1,藏族,青海,1962,2,1978,1,1983,6,8,2000,2003
34,公保扎西,1,藏族,青海,1962,2,1978,1,1983,8,10,2003,2006
35,公保扎西,1,藏族,青海,1962,2,1978,1,1983,10,11,2006,2016
36,李杰翔,1,汉族,内蒙古,1964,2,1985,1,1985,8,9,1986,1994
37,李杰翔,1,汉族,内蒙古,1964,2,1985,1,1985,9,11,1994,2019
38,马吉孝,1,回族,青海,1961,1,1979,1,1983,6,11,2005,2010
39,王林虎,1,汉族,山西,1969,2,1990,1,1992,6,8,1992,2001
40,王林虎,1,汉族,山西,1969,2,1990,1,1992,8,9,2001,2010
41,白加扎西,1,藏族,青海,1964,2,1981,1,1985,7,9,1990,2006
42,严金海,1,藏族,青海,1962,1,1982,1,1983,8,9,1993,1996
43,严金海,1,藏族,青海,1962,1,1982,1,1983,9,11,1996,2013
44,王晓,1,汉族,山东,1968,3,1991,1,1987,9,11,1995,1997
45,文国栋,1,汉族,青海,1969,2,1987,1,1995,6,8,1991,1996
46,文国栋,1,汉族,青海,1969,2,1987,1,1995,8,9,1996,1996
47,才让太,1,藏族,青海,1969,1,,0,,7,10,1991,1993
48,吴德军,1,汉族,青海,1965,1,1983,1,1988,5,11,1990,1993
49,王宇燕,0,汉族,河南,1966,3,1986,1,1986,7,9,2002,2006
50,王宇燕,0,汉族,河南,1966,3,1986,1,1986,9,11,2006,2017
51,严金海,1,藏族,青海,1962,1,1982,1,1983,8,9,1993,1996
52,严金海,1,藏族,青海,1962,1,1982,1,1983,9,11,1996,2013
53,阿更登,1,藏族,青海,1967,1,1990,1,1994,7,9,1993,1996
54,张晓容,1,汉族,青海,1963,3,1978,1,1983,7,9,1985,1989
55,匡湧,1,汉族,江苏,1963,1,1984,1,,10,11,1993,2014
56,张文魁,1,藏族,青海,1961,1,1979,1,1985,7,9,1990,2001
57,张文魁,1,藏族,青海,1961,1,1979,1,1985,9,11,2001,2018
58,杨逢春,1,汉族,江西,1963,3,1984,1,1984,10,11,1996,2016
59,王晓,1,汉族,山东,1968,3,1991,1,1987,9,11,1995,1997
60,翁祖亮,1,汉族,福建,1963,2,1983,1,,9,11,2003,2016
61,翁祖亮,1,汉族,福建,1963,2,1983,1,,9,11,2003,2016
62,陈寅,1,汉族,江苏,1962,2,1984,1,,5,9,1989,1998
63,陈寅,1,汉族,江苏,1962,2,1984,1,,9,11,1998,2003
64,廖国勋,1,土家族,四川,1963,2,1983,1,,8,9,1986,1988
65,廖国勋,1,土家族,四川,1963,2,1983,1,,9,10,1988,2001
66,廖国勋,1,土家族,四川,1963,2,1983,1,,10,11,2001,2012
67,龚正,1,汉族,江苏,1960,3,,0,,7,11,1986,2008
68,龚正,1,汉族,江苏,1960,3,,0,,11,12,2008,2012
69,刘学新,1,汉族,山东,1963,2,1989,1,1985,10,11,2008,2009
70,刘学新,1,汉族,山东,1963,2,1989,1,1985,11,12,2009,2015
71,陈寅,1,汉族,江苏,1962,2,1984,1,,5,9,1989,1998
72,陈寅,1,汉族,江苏,1962,2,1984,1,,9,11,1998,2003
73,张江汀,1,汉族,山东,1961,3,,0,,9,11,1995,2015
74,崔洪刚,1,汉族,山东,1961,2,1978,1,1982,8,9,1982,1984
75,崔洪刚,1,汉族,山东,1961,2,1978,1,1982,9,10,1984,1986
76,王书坚,1,汉族,山东,1962,0,,0,,9,11,1988,2019
77,范华平,1,汉族,云南,1962,1,1982,1,1984,7,8,1987,1993
78,范华平,1,汉族,云南,1962,1,1982,1,1984,8,9,1993,2002
79,范华平,1,汉族,云南,1962,1,1982,1,1984,9,11,2002,2017
80,李峰,1,汉族,山东,1961,2,1977,1,1985,6,8,1985,1995
81,李峰,1,汉族,山东,1961,2,1977,1,1985,8,9,1995,2004
82,李长萍,0,汉族,山东,1975,1,1997,1,1995,4,9,1998,2006
83,王书坚,1,汉族,山东,1962,0,,0,,9,11,1988,2019
84,王安德,1,汉族,山东,1963,1,1987,1,1987,8,10,1996,2000
85,傅明先,1,汉族,山东,1964,0,,0,,1,5,1989,1994
86,傅明先,1,汉族,山东,1964,0,,0,,5,9,1994,2002
87,陈平,1,汉族,山东,1967,0,,0,,6,7,1990,1995
88,陈平,1,汉族,山东,1967,0,,0,,7,10,1995,2001
89,闫剑波,1,汉族,山东,1971,2,1994,1,1992,8,9,1995,2001
90,惠新安,1,汉族,,1963,2,,1,,8,9,1985,1998
91,惠新安,1,汉族,,1963,2,,1,,9,11,1998,2016
92,赵志远,1,汉族,山东,1968,3,1990,1,1992,2,7,1990,1999
93,赵志远,1,汉族,山东,1968,3,1990,1,1992,7,9,1999,2002
94,赵志远,1,汉族,山东,1968,3,1990,1,1992,9,11,2002,2013
95,孙爱军,1,汉族,山东,1972,0,,0,,7,11,2001,2002
96,李猛,1,汉族,安徽,1967,2,1987,1,1994,3,11,1995,1998
97,李干杰,1,汉族,湖南,1964,2,1989,1,1984,7,11,1994,2008
98,张术平,1,汉族,山东,1964,2,1984,1,1985,6,7,1985,1990
99,张术平,1,汉族,山东,1964,2,1984,1,1985,7,9,1990,1993
100,王可,1,汉族,湖南,1962,2,1982,1,1987,7,11,1995,1997
101,李宽端,1,汉族,,1963,2,1985,1,1985,2,5,1985,1990
102,李宽端,1,汉族,,1963,2,1985,1,1985,5,6,1990,1994
103,李宽端,1,汉族,,1963,2,1985,1,1985,6,9,1994,2000
104,孟庆斌,1,汉族,山东,1968,3,1989,1,1986,9,10,1991,2017
105,于海田,1,汉族,,1969,3,1994,1,1993,7,11,1996,1996
106,乔新江,1,汉族,河南,1961,2,1984,1,1990,2,3,1984,1989
107,乔新江,1,汉族,河南,1961,2,1984,1,1990,3,9,1989,1993
108,乔新江,1,汉族,河南,1961,2,1984,1,1990,9,12,1993,2018
109,李亚,1,汉族,河南,1963,3,1981,1,1983,10,11,1985,1991
110,穆为民,1,汉族,河南,1961,2,1983,1,1985,9,11,1992,2016
111,史根治,1,汉族,河南,1965,2,1981,1,1983,6,10,1985,1989
112,何金平,1,白族,云南,1963,2,1984,1,1988,6,7,1993,1994
113,何金平,1,白族,云南,1963,2,1984,1,1988,7,9,1994,2003
114,何金平,1,白族,云南,1963,2,1984,1,1988,9,11,2003,2012
115,王小平,1,汉族,河北,1962,2,1984,1,1984,7,9,1989,2005
116,王小平,1,汉族,河北,1962,2,1984,1,1984,9,11,2005,2008
117,徐立毅,1,汉族,浙江,1964,0,,0,,8,9,1997,2012
118,徐立毅,1,汉族,浙江,1964,0,,0,,9,11,2012,2019
119,王新伟,1,汉族,河南,1967,2,1991,1,1985,9,11,1994,2020
120,张战伟,1,汉族,河南,1963,2,1985,1,1985,8,9,1992,1997
121,张战伟,1,汉族,河南,1963,2,1985,1,1985,9,10,1997,2001
122,徐立毅,1,汉族,浙江,1964,0,,0,,8,9,1997,2012
123,徐立毅,1,汉族,浙江,1964,0,,0,,9,11,2012,2019
